
================================================================================
  6. CAMPSITE ATTRIBUTES - Complete inventory
================================================================================
Total attribute records: 2,423,061
Unique attribute names: 341

All attributes by frequency:
  Checkout Time                                :    123,255 records,     83 unique values
  Checkin Time                                 :    123,093 records,     84 unique values
  Max Num of People                            :    120,390 records,     98 unique values
  Max Num of Vehicles                          :    117,108 records,     80 unique values
  Pets Allowed                                 :    113,295 records,      8 unique values
  IS EQUIPMENT MANDATORY                       :    110,562 records,      3 unique values
  Min Num of People                            :    109,925 records,     29 unique values
  Driveway Surface                             :    105,454 records,     13 unique values
  Capacity/Size Rating                         :    105,323 records,     12 unique values
  Max Vehicle Length                           :    103,209 records,    313 unique values
  Driveway Entry                               :    102,366 records,     12 unique values
  Campfire Allowed                             :     95,200 records,      4 unique values
  Shade                                        :     89,341 records,      9 unique values
  Placed on Map                                :     76,172 records,      3 unique values
  Picnic Table                                 :     64,314 records,      4 unique values
  Driveway Length                              :     55,031 records,    564 unique values
  Site Access                                  :     49,827 records,     14 unique values
  Water Hookup                                 :     45,618 records,      7 unique values
  Electricity Hookup                           :     44,424 records,     57 unique values
  Fire Pit                                     :     42,970 records,      3 unique values
  GRILLS                                       :     34,223 records,      3 unique values
  Site Length                                  :     33,904 records,    316 unique values
  Min Num of Vehicles                          :     30,027 records,     14 unique values
  Site Rating                                  :     27,497 records,     10 unique values
  Driveway Grade                               :     26,395 records,      8 unique values
  Site Width                                   :     25,761 records,    188 unique values
  Location Rating                              :     25,446 records,      9 unique values
  Condition Rating                             :     23,834 records,     11 unique values
  CAMPFIRE RINGS                               :     23,044 records,      2 unique values
  PICNIC TABLES                                :     19,977 records,      1 unique values
  Proximity to Water                           :     18,396 records,     10 unique values
  Tent Pad Length                              :     16,034 records,    112 unique values
  BBQ                                          :     15,589 records,      3 unique values
  Tent Pad Width                               :     15,480 records,     91 unique values
  Tent Pad                                     :     13,676 records,      3 unique values
  Site Height/Overhead Clearance               :     10,878 records,     65 unique values
  Sewer Hookup                                 :     10,274 records,      4 unique values
  Base Number of People                        :      9,748 records,     35 unique values
  Base Number of Vehicles                      :      9,171 records,     28 unique values
  Hike In Distance to Site                     :      8,880 records,    589 unique values
  Double Driveway                              :      7,919 records,      6 unique values
  Accessibility                                :      7,052 records,      2 unique values
  Quiet Area                                   :      6,819 records,      3 unique values
  FOOD STORAGE LOCKER                          :      6,586 records,      1 unique values
  LANTERN POSTS                                :      6,370 records,      1 unique values
  FLUSH TOILETS                                :      5,837 records,      1 unique values
  DRINKING WATER                               :      5,577 records,      2 unique values
  PAVED ROADS                                  :      5,063 records,      1 unique values
  VAULT TOILETS                                :      4,899 records,      1 unique values
  TENT PADS                                    :      4,625 records,      2 unique values
  HOST                                         :      4,426 records,      2 unique values
  ELECTRIC HOOKUPS                             :      4,197 records,      1 unique values
  Food Locker                                  :      4,076 records,      3 unique values
  WATER SPIGOT                                 :      4,071 records,      1 unique values
  Shower/Bath Type                             :      3,919 records,      5 unique values
  DUMP STATION                                 :      3,911 records,      2 unique values
  Lantern Pole                                 :      3,770 records,      2 unique values
  WATER HOOKUPS                                :      3,636 records,      1 unique values
  Privacy                                      :      3,604 records,      3 unique values
  PAVED PARKING                                :      3,433 records,      1 unique values
  Accessible Occupant Message                  :      3,338 records,      2 unique values
  BOAT RAMP                                    :      3,191 records,      1 unique values
  SHOWERS                                      :      3,135 records,      1 unique values
  Bed Type                                     :      2,961 records,     20 unique values
  PARKING AREA                                 :      2,748 records,      2 unique values
  TRASH COLLECTION                             :      2,704 records,      1 unique values
  LAKE ACCESS                                  :      2,491 records,      1 unique values
  Max Num of Horses                            :      2,386 records,     23 unique values
  ACCESSIBLE FLUSH TOILETS                     :      2,382 records,      1 unique values
  SELF PAY STATION                             :      2,352 records,      1 unique values
  TRAILHEADS                                   :      2,085 records,      1 unique values
