/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
=== PULLING LINKS ===
  Total: 64,550
  [  0.1%] 50/64,550 | ETA: 11min
  [  0.2%] 100/64,550 | ETA: 18min
  [  0.2%] 150/64,550 | ETA: 22min
  [  0.3%] 200/64,550 | ETA: 24min
  [  0.4%] 250/64,550 | ETA: 25min
  [  0.5%] 300/64,550 | ETA: 25min
  [  0.5%] 350/64,550 | ETA: 27min
  [  0.6%] 400/64,550 | ETA: 26min
  [  0.7%] 450/64,550 | ETA: 27min
  [  0.8%] 500/64,550 | ETA: 27min
  [  0.9%] 550/64,550 | ETA: 27min
  [  0.9%] 600/64,550 | ETA: 27min
  [  1.0%] 650/64,550 | ETA: 27min
  [  1.1%] 700/64,550 | ETA: 27min
  [  1.2%] 750/64,550 | ETA: 28min
  [  1.2%] 800/64,550 | ETA: 27min
  [  1.3%] 850/64,550 | ETA: 28min
  [  1.4%] 900/64,550 | ETA: 28min
  [  1.5%] 950/64,550 | ETA: 28min
  [  1.5%] 1,000/64,550 | ETA: 28min
  [  1.6%] 1,050/64,550 | ETA: 28min
  [  1.7%] 1,100/64,550 | ETA: 28min
  [  1.8%] 1,150/64,550 | ETA: 28min
  [  1.9%] 1,200/64,550 | ETA: 28min
  [  1.9%] 1,250/64,550 | ETA: 28min
  [  2.0%] 1,300/64,550 | ETA: 28min
  [  2.1%] 1,350/64,550 | ETA: 28min
  [  2.2%] 1,400/64,550 | ETA: 28min
  [  2.2%] 1,450/64,550 | ETA: 28min
  [  2.3%] 1,500/64,550 | ETA: 28min
  [  2.4%] 1,550/64,550 | ETA: 28min
  [  2.5%] 1,600/64,550 | ETA: 28min
  [  2.6%] 1,650/64,550 | ETA: 28min
  [  2.6%] 1,700/64,550 | ETA: 28min
  [  2.7%] 1,750/64,550 | ETA: 28min
  [  2.8%] 1,800/64,550 | ETA: 28min
  [  2.9%] 1,850/64,550 | ETA: 28min
  [  2.9%] 1,900/64,550 | ETA: 28min
  [  3.0%] 1,950/64,550 | ETA: 28min
  [  3.1%] 2,000/64,550 | ETA: 28min
  [  3.2%] 2,050/64,550 | ETA: 28min
  [  3.3%] 2,100/64,550 | ETA: 28min
  [  3.3%] 2,150/64,550 | ETA: 28min
  [  3.4%] 2,200/64,550 | ETA: 28min
  [  3.5%] 2,250/64,550 | ETA: 28min
  [  3.6%] 2,300/64,550 | ETA: 28min
  [  3.6%] 2,350/64,550 | ETA: 28min
  [  3.7%] 2,400/64,550 | ETA: 28min
  [  3.8%] 2,450/64,550 | ETA: 28min
  [  3.9%] 2,500/64,550 | ETA: 28min
  [  4.0%] 2,550/64,550 | ETA: 28min
  [  4.0%] 2,600/64,550 | ETA: 28min
