/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
RIDB Bulk Campsite Pull
Database: /Users/jessewest/Desktop/rv-finder/ridb.db
  Existing campsites in DB: 34000
  Resuming from offset 34000 (approx 34000 already stored)
  Total campsites to pull: 132,974
  Estimated time: ~60 minutes
  [ 25.6%] 34,050/132,974 campsites | 46450/sec | ETA: 0min
  [ 25.6%] 34,100/132,974 campsites | 17220/sec | ETA: 0min
  [ 25.7%] 34,150/132,974 campsites | 10078/sec | ETA: 0min
  [ 25.7%] 34,200/132,974 campsites | 7143/sec | ETA: 0min
  [ 25.8%] 34,250/132,974 campsites | 5506/sec | ETA: 0min
  [ 25.8%] 34,300/132,974 campsites | 4554/sec | ETA: 0min
  [ 25.8%] 34,350/132,974 campsites | 3909/sec | ETA: 0min
  [ 25.9%] 34,400/132,974 campsites | 3382/sec | ETA: 0min
  [ 25.9%] 34,450/132,974 campsites | 2979/sec | ETA: 1min
  [ 25.9%] 34,500/132,974 campsites | 2652/sec | ETA: 1min
  [ 26.0%] 34,550/132,974 campsites | 2426/sec | ETA: 1min
  [ 26.0%] 34,600/132,974 campsites | 2215/sec | ETA: 1min
  [ 26.1%] 34,650/132,974 campsites | 2054/sec | ETA: 1min
  [ 26.1%] 34,700/132,974 campsites | 1904/sec | ETA: 1min
  [ 26.1%] 34,750/132,974 campsites | 1764/sec | ETA: 1min
  [ 26.2%] 34,800/132,974 campsites | 1661/sec | ETA: 1min
  [ 26.2%] 34,850/132,974 campsites | 1562/sec | ETA: 1min
  [ 26.2%] 34,900/132,974 campsites | 1472/sec | ETA: 1min
  [ 26.3%] 34,950/132,974 campsites | 1394/sec | ETA: 1min
  [ 26.3%] 35,000/132,974 campsites | 1323/sec | ETA: 1min
  [ 26.4%] 35,050/132,974 campsites | 1254/sec | ETA: 1min
  [ 26.4%] 35,100/132,974 campsites | 1199/sec | ETA: 1min
  [ 26.4%] 35,150/132,974 campsites | 1152/sec | ETA: 1min
  [ 26.5%] 35,200/132,974 campsites | 1106/sec | ETA: 1min
  [ 26.5%] 35,250/132,974 campsites | 1056/sec | ETA: 2min
  [ 26.5%] 35,300/132,974 campsites | 1018/sec | ETA: 2min
  [ 26.6%] 35,350/132,974 campsites | 981/sec | ETA: 2min
  [ 26.6%] 35,400/132,974 campsites | 950/sec | ETA: 2min
  [ 26.7%] 35,450/132,974 campsites | 916/sec | ETA: 2min
  [ 26.7%] 35,500/132,974 campsites | 886/sec | ETA: 2min
  [ 26.7%] 35,550/132,974 campsites | 857/sec | ETA: 2min
  [ 26.8%] 35,600/132,974 campsites | 834/sec | ETA: 2min
  [ 26.8%] 35,650/132,974 campsites | 810/sec | ETA: 2min
  [ 26.8%] 35,700/132,974 campsites | 787/sec | ETA: 2min
  [ 26.9%] 35,750/132,974 campsites | 765/sec | ETA: 2min
  [ 26.9%] 35,800/132,974 campsites | 745/sec | ETA: 2min
  [ 27.0%] 35,850/132,974 campsites | 725/sec | ETA: 2min
  [ 27.0%] 35,900/132,974 campsites | 707/sec | ETA: 2min
  [ 27.0%] 35,950/132,974 campsites | 690/sec | ETA: 2min
  [ 27.1%] 36,000/132,974 campsites | 671/sec | ETA: 2min
  [ 27.1%] 36,050/132,974 campsites | 656/sec | ETA: 2min
  [ 27.1%] 36,100/132,974 campsites | 641/sec | ETA: 3min
  [ 27.2%] 36,150/132,974 campsites | 628/sec | ETA: 3min
  [ 27.2%] 36,200/132,974 campsites | 610/sec | ETA: 3min
  [ 27.3%] 36,250/132,974 campsites | 601/sec | ETA: 3min
  [ 27.3%] 36,300/132,974 campsites | 580/sec | ETA: 3min
  [ 27.3%] 36,350/132,974 campsites | 574/sec | ETA: 3min
  [ 27.4%] 36,400/132,974 campsites | 563/sec | ETA: 3min
  [ 27.4%] 36,450/132,974 campsites | 553/sec | ETA: 3min
  [ 27.4%] 36,500/132,974 campsites | 540/sec | ETA: 3min
  [ 27.5%] 36,550/132,974 campsites | 531/sec | ETA: 3min
  [ 27.5%] 36,600/132,974 campsites | 521/sec | ETA: 3min
  [ 27.6%] 36,650/132,974 campsites | 513/sec | ETA: 3min
  [ 27.6%] 36,700/132,974 campsites | 504/sec | ETA: 3min
  [ 27.6%] 36,750/132,974 campsites | 495/sec | ETA: 3min
  [ 27.7%] 36,800/132,974 campsites | 487/sec | ETA: 3min
  [ 27.7%] 36,850/132,974 campsites | 479/sec | ETA: 3min
  [ 27.7%] 36,900/132,974 campsites | 471/sec | ETA: 3min
  [ 27.8%] 36,950/132,974 campsites | 465/sec | ETA: 3min
  [ 27.8%] 37,000/132,974 campsites | 457/sec | ETA: 3min
  [ 27.9%] 37,050/132,974 campsites | 451/sec | ETA: 4min
  [ 27.9%] 37,100/132,974 campsites | 444/sec | ETA: 4min
  [ 27.9%] 37,150/132,974 campsites | 438/sec | ETA: 4min
  [ 28.0%] 37,200/132,974 campsites | 431/sec | ETA: 4min
  [ 28.0%] 37,250/132,974 campsites | 424/sec | ETA: 4min
  [ 28.1%] 37,300/132,974 campsites | 418/sec | ETA: 4min
  [ 28.1%] 37,350/132,974 campsites | 413/sec | ETA: 4min
  [ 28.1%] 37,400/132,974 campsites | 408/sec | ETA: 4min
  [ 28.2%] 37,450/132,974 campsites | 402/sec | ETA: 4min
  [ 28.2%] 37,500/132,974 campsites | 397/sec | ETA: 4min
  [ 28.2%] 37,550/132,974 campsites | 391/sec | ETA: 4min
  [ 28.3%] 37,600/132,974 campsites | 387/sec | ETA: 4min
  [ 28.3%] 37,650/132,974 campsites | 383/sec | ETA: 4min
  [ 28.4%] 37,700/132,974 campsites | 378/sec | ETA: 4min
  [ 28.4%] 37,750/132,974 campsites | 373/sec | ETA: 4min
  [ 28.4%] 37,800/132,974 campsites | 369/sec | ETA: 4min
  [ 28.5%] 37,850/132,974 campsites | 364/sec | ETA: 4min
  [ 28.5%] 37,900/132,974 campsites | 360/sec | ETA: 4min
  [ 28.5%] 37,950/132,974 campsites | 356/sec | ETA: 4min
  [ 28.6%] 38,000/132,974 campsites | 352/sec | ETA: 4min
  [ 28.6%] 38,050/132,974 campsites | 348/sec | ETA: 5min
  [ 28.7%] 38,100/132,974 campsites | 344/sec | ETA: 5min
  [ 28.7%] 38,150/132,974 campsites | 341/sec | ETA: 5min
  [ 28.7%] 38,200/132,974 campsites | 337/sec | ETA: 5min
  [ 28.8%] 38,250/132,974 campsites | 334/sec | ETA: 5min
  [ 28.8%] 38,300/132,974 campsites | 330/sec | ETA: 5min
  [ 28.8%] 38,350/132,974 campsites | 327/sec | ETA: 5min
  [ 28.9%] 38,400/132,974 campsites | 323/sec | ETA: 5min
  [ 28.9%] 38,450/132,974 campsites | 319/sec | ETA: 5min
  [ 29.0%] 38,500/132,974 campsites | 316/sec | ETA: 5min
  [ 29.0%] 38,550/132,974 campsites | 314/sec | ETA: 5min
  [ 29.0%] 38,600/132,974 campsites | 311/sec | ETA: 5min
  [ 29.1%] 38,650/132,974 campsites | 308/sec | ETA: 5min
  [ 29.1%] 38,700/132,974 campsites | 304/sec | ETA: 5min
  [ 29.1%] 38,750/132,974 campsites | 302/sec | ETA: 5min
  [ 29.2%] 38,800/132,974 campsites | 299/sec | ETA: 5min
  [ 29.2%] 38,850/132,974 campsites | 297/sec | ETA: 5min
  [ 29.3%] 38,900/132,974 campsites | 294/sec | ETA: 5min
  [ 29.3%] 38,950/132,974 campsites | 292/sec | ETA: 5min
  [ 29.3%] 39,000/132,974 campsites | 289/sec | ETA: 5min
  [ 29.4%] 39,050/132,974 campsites | 286/sec | ETA: 5min
  [ 29.4%] 39,100/132,974 campsites | 284/sec | ETA: 6min
  [ 29.4%] 39,150/132,974 campsites | 281/sec | ETA: 6min
  [ 29.5%] 39,200/132,974 campsites | 279/sec | ETA: 6min
  [ 29.5%] 39,250/132,974 campsites | 277/sec | ETA: 6min
  [ 29.6%] 39,300/132,974 campsites | 275/sec | ETA: 6min
  [ 29.6%] 39,350/132,974 campsites | 272/sec | ETA: 6min
  [ 29.6%] 39,400/132,974 campsites | 270/sec | ETA: 6min
  [ 29.7%] 39,450/132,974 campsites | 268/sec | ETA: 6min
  [ 29.7%] 39,500/132,974 campsites | 266/sec | ETA: 6min
  [ 29.7%] 39,550/132,974 campsites | 264/sec | ETA: 6min
  [ 29.8%] 39,600/132,974 campsites | 262/sec | ETA: 6min
  [ 29.8%] 39,650/132,974 campsites | 260/sec | ETA: 6min
  [ 29.9%] 39,700/132,974 campsites | 258/sec | ETA: 6min
  [ 29.9%] 39,750/132,974 campsites | 255/sec | ETA: 6min
  [ 29.9%] 39,800/132,974 campsites | 254/sec | ETA: 6min
  [ 30.0%] 39,850/132,974 campsites | 252/sec | ETA: 6min
  [ 30.0%] 39,900/132,974 campsites | 250/sec | ETA: 6min
  [ 30.0%] 39,950/132,974 campsites | 249/sec | ETA: 6min
  [ 30.1%] 40,000/132,974 campsites | 247/sec | ETA: 6min
  [ 30.1%] 40,050/132,974 campsites | 245/sec | ETA: 6min
  [ 30.2%] 40,100/132,974 campsites | 243/sec | ETA: 6min
  [ 30.2%] 40,150/132,974 campsites | 242/sec | ETA: 6min
  [ 30.2%] 40,200/132,974 campsites | 240/sec | ETA: 6min
  [ 30.3%] 40,250/132,974 campsites | 238/sec | ETA: 6min
  [ 30.3%] 40,300/132,974 campsites | 237/sec | ETA: 7min
  [ 30.3%] 40,350/132,974 campsites | 235/sec | ETA: 7min
  [ 30.4%] 40,400/132,974 campsites | 233/sec | ETA: 7min
  [ 30.4%] 40,450/132,974 campsites | 232/sec | ETA: 7min
  [ 30.5%] 40,500/132,974 campsites | 231/sec | ETA: 7min
  [ 30.5%] 40,550/132,974 campsites | 229/sec | ETA: 7min
  [ 30.5%] 40,600/132,974 campsites | 228/sec | ETA: 7min
  [ 30.6%] 40,650/132,974 campsites | 226/sec | ETA: 7min
  [ 30.6%] 40,700/132,974 campsites | 225/sec | ETA: 7min
  [ 30.6%] 40,750/132,974 campsites | 223/sec | ETA: 7min
  [ 30.7%] 40,800/132,974 campsites | 222/sec | ETA: 7min
  [ 30.7%] 40,850/132,974 campsites | 221/sec | ETA: 7min
  [ 30.8%] 40,900/132,974 campsites | 219/sec | ETA: 7min
  [ 30.8%] 40,950/132,974 campsites | 218/sec | ETA: 7min
  [ 30.8%] 41,000/132,974 campsites | 217/sec | ETA: 7min
  [ 30.9%] 41,050/132,974 campsites | 215/sec | ETA: 7min
  [ 30.9%] 41,100/132,974 campsites | 214/sec | ETA: 7min
  [ 30.9%] 41,150/132,974 campsites | 213/sec | ETA: 7min
  [ 31.0%] 41,200/132,974 campsites | 212/sec | ETA: 7min
  [ 31.0%] 41,250/132,974 campsites | 210/sec | ETA: 7min
  [ 31.1%] 41,300/132,974 campsites | 209/sec | ETA: 7min
  [ 31.1%] 41,350/132,974 campsites | 208/sec | ETA: 7min
  [ 31.1%] 41,400/132,974 campsites | 207/sec | ETA: 7min
  [ 31.2%] 41,450/132,974 campsites | 206/sec | ETA: 7min
  [ 31.2%] 41,500/132,974 campsites | 204/sec | ETA: 7min
  [ 31.2%] 41,550/132,974 campsites | 204/sec | ETA: 7min
  [ 31.3%] 41,600/132,974 campsites | 203/sec | ETA: 8min
  [ 31.3%] 41,650/132,974 campsites | 201/sec | ETA: 8min
  [ 31.4%] 41,700/132,974 campsites | 200/sec | ETA: 8min
  [ 31.4%] 41,750/132,974 campsites | 199/sec | ETA: 8min
  [ 31.4%] 41,800/132,974 campsites | 198/sec | ETA: 8min
  [ 31.5%] 41,850/132,974 campsites | 197/sec | ETA: 8min
  [ 31.5%] 41,900/132,974 campsites | 196/sec | ETA: 8min
  [ 31.5%] 41,950/132,974 campsites | 195/sec | ETA: 8min
  [ 31.6%] 42,000/132,974 campsites | 194/sec | ETA: 8min
  [ 31.6%] 42,050/132,974 campsites | 193/sec | ETA: 8min
  [ 31.7%] 42,100/132,974 campsites | 192/sec | ETA: 8min
  [ 31.7%] 42,150/132,974 campsites | 191/sec | ETA: 8min
  [ 31.7%] 42,200/132,974 campsites | 190/sec | ETA: 8min
  [ 31.8%] 42,250/132,974 campsites | 189/sec | ETA: 8min
  [ 31.8%] 42,300/132,974 campsites | 188/sec | ETA: 8min
  [ 31.8%] 42,350/132,974 campsites | 188/sec | ETA: 8min
  [ 31.9%] 42,400/132,974 campsites | 187/sec | ETA: 8min
  [ 31.9%] 42,450/132,974 campsites | 186/sec | ETA: 8min
  [ 32.0%] 42,500/132,974 campsites | 185/sec | ETA: 8min
  [ 32.0%] 42,550/132,974 campsites | 184/sec | ETA: 8min
  [ 32.0%] 42,600/132,974 campsites | 183/sec | ETA: 8min
  [ 32.1%] 42,650/132,974 campsites | 182/sec | ETA: 8min
  [ 32.1%] 42,700/132,974 campsites | 181/sec | ETA: 8min
  [ 32.1%] 42,750/132,974 campsites | 181/sec | ETA: 8min
  [ 32.2%] 42,800/132,974 campsites | 180/sec | ETA: 8min
  [ 32.2%] 42,850/132,974 campsites | 179/sec | ETA: 8min
  [ 32.3%] 42,900/132,974 campsites | 178/sec | ETA: 8min
  [ 32.3%] 42,950/132,974 campsites | 177/sec | ETA: 8min
  [ 32.3%] 43,000/132,974 campsites | 177/sec | ETA: 8min
  [ 32.4%] 43,050/132,974 campsites | 176/sec | ETA: 9min
  [ 32.4%] 43,100/132,974 campsites | 175/sec | ETA: 9min
  [ 32.4%] 43,150/132,974 campsites | 174/sec | ETA: 9min
  [ 32.5%] 43,200/132,974 campsites | 174/sec | ETA: 9min
  [ 32.5%] 43,250/132,974 campsites | 173/sec | ETA: 9min
  [ 32.6%] 43,300/132,974 campsites | 172/sec | ETA: 9min
  [ 32.6%] 43,350/132,974 campsites | 171/sec | ETA: 9min
  [ 32.6%] 43,400/132,974 campsites | 171/sec | ETA: 9min
  [ 32.7%] 43,450/132,974 campsites | 170/sec | ETA: 9min
  [ 32.7%] 43,500/132,974 campsites | 169/sec | ETA: 9min
  [ 32.8%] 43,550/132,974 campsites | 169/sec | ETA: 9min
  [ 32.8%] 43,600/132,974 campsites | 168/sec | ETA: 9min
  [ 32.8%] 43,650/132,974 campsites | 167/sec | ETA: 9min
  [ 32.9%] 43,700/132,974 campsites | 167/sec | ETA: 9min
  [ 32.9%] 43,750/132,974 campsites | 166/sec | ETA: 9min
  [ 32.9%] 43,800/132,974 campsites | 165/sec | ETA: 9min
  [ 33.0%] 43,850/132,974 campsites | 165/sec | ETA: 9min
  [ 33.0%] 43,900/132,974 campsites | 164/sec | ETA: 9min
  [ 33.1%] 43,950/132,974 campsites | 163/sec | ETA: 9min
  [ 33.1%] 44,000/132,974 campsites | 163/sec | ETA: 9min
  [ 33.1%] 44,050/132,974 campsites | 162/sec | ETA: 9min
  [ 33.2%] 44,100/132,974 campsites | 161/sec | ETA: 9min
  [ 33.2%] 44,150/132,974 campsites | 161/sec | ETA: 9min
  [ 33.2%] 44,200/132,974 campsites | 160/sec | ETA: 9min
  [ 33.3%] 44,250/132,974 campsites | 160/sec | ETA: 9min
  [ 33.3%] 44,300/132,974 campsites | 159/sec | ETA: 9min
  [ 33.4%] 44,350/132,974 campsites | 159/sec | ETA: 9min
  [ 33.4%] 44,400/132,974 campsites | 158/sec | ETA: 9min
  [ 33.4%] 44,450/132,974 campsites | 157/sec | ETA: 9min
  [ 33.5%] 44,500/132,974 campsites | 157/sec | ETA: 9min
  [ 33.5%] 44,550/132,974 campsites | 156/sec | ETA: 9min
